Year	Vote from	Vote to	Point	Jury	Public
1957	Austria	Great Britain	1		
1957	Austria	Luxemburg	3		
1957	Austria	Netherlands	6		
1957	Belgium	France	2		
1957	Belgium	Germany	1		
1957	Belgium	Great Britain	1		
1957	Belgium	Italy	1		
1957	Belgium	Netherlands	5		
1957	Denmark	Belgium	2		
1957	Denmark	France	2		
1957	Denmark	Italy	1		
1957	Denmark	Netherlands	3		
1957	Denmark	Switzerland	2		
1957	France	Germany	6		
1957	France	Netherlands	4		
1957	Germany	Belgium	2		
1957	Germany	France	6		
1957	Germany	Netherlands	1		
1957	Germany	Switzerland	1		
1957	Great Britain	Austria	2		
1957	Great Britain	Denmark	2		
1957	Great Britain	France	2		
1957	Great Britain	Italy	2		
1957	Great Britain	Luxemburg	1		
1957	Great Britain	Netherlands	1		
1957	Italy	Denmark	3		
1957	Italy	Germany	1		
1957	Italy	Luxemburg	4		
1957	Italy	Netherlands	1		
1957	Italy	Switzerland	1		
1957	Luxemburg	France	4		
1957	Luxemburg	Great Britain	1		
1957	Luxemburg	Italy	1		
1957	Luxemburg	Netherlands	3		
1957	Luxemburg	Switzerland	1		
1957	Netherlands	Austria	1		
1957	Netherlands	Denmark	5		
1957	Netherlands	France	1		
1957	Netherlands	Great Britain	1		
1957	Netherlands	Italy	2		
1957	Switzerland	Belgium	1		
1957	Switzerland	Great Britain	2		
1957	Switzerland	Netherlands	7		
1958	Austria	France	7		
1958	Austria	Germany	1		
1958	Austria	Italy	1		
1958	Austria	Sweden	1		
1958	Belgium	Austria	1		
1958	Belgium	France	1		
1958	Belgium	Germany	1		
1958	Belgium	Italy	4		
1958	Belgium	Sweden	1		
1958	Belgium	Switzerland	2		
1958	Denmark	Belgium	1		
1958	Denmark	France	9		
1958	France	Austria	3		
1958	France	Denmark	1		
1958	France	Germany	2		
1958	France	Italy	1		
1958	France	Switzerland	3		
1958	Germany	Belgium	5		
1958	Germany	France	1		
1958	Germany	Italy	4		
1958	Italy	France	6		
1958	Italy	Switzerland	4		
1958	Luxemburg	Austria	1		
1958	Luxemburg	France	1		
1958	Luxemburg	Sweden	3		
1958	Luxemburg	Switzerland	5		
1958	Netherlands	Denmark	1		
1958	Netherlands	Italy	1		
1958	Netherlands	Sweden	2		
1958	Netherlands	Switzerland	6		
1958	Sweden	Austria	1		
1958	Sweden	Belgium	1		
1958	Sweden	Denmark	1		
1958	Sweden	France	1		
1958	Sweden	Germany	1		
1958	Sweden	Italy	1		
1958	Sweden	Switzerland	4		
1958	Switzerland	Austria	2		
1958	Switzerland	Belgium	1		
1958	Switzerland	France	1		
1958	Switzerland	Italy	1		
1958	Switzerland	Luxemburg	1		
1958	Switzerland	Netherlands	1		
1958	Switzerland	Sweden	3		
1959	Austria	Denmark	2		
1959	Austria	France	1		
1959	Austria	Great Britain	2		
1959	Austria	Monaco	1		
1959	Austria	Netherlands	3		
1959	Austria	Switzerland	1		
1959	Belgium	France	2		
1959	Belgium	Germany	1		
1959	Belgium	Great Britain	2		
1959	Belgium	Italy	1		
1959	Belgium	Netherlands	3		
1959	Belgium	Switzerland	1		
1959	Denmark	Belgium	2		
1959	Denmark	France	4		
1959	Denmark	Great Britain	1		
1959	Denmark	Sweden	1		
1959	Denmark	Switzerland	2		
1959	France	Germany	2		
1959	France	Great Britain	1		
1959	France	Italy	3		
1959	France	Netherlands	4		
1959	Germany	Belgium	3		
1959	Germany	France	4		
1959	Germany	Netherlands	2		
1959	Germany	Switzerland	1		
1959	Great Britain	Belgium	2		
1959	Great Britain	Denmark	2		
1959	Great Britain	Netherlands	1		
1959	Great Britain	Switzerland	5		
1959	Italy	Denmark	1		
1959	Italy	France	1		
1959	Italy	Germany	1		
1959	Italy	Netherlands	7		
1959	Monaco	Austria	1		
1959	Monaco	Belgium	1		
1959	Monaco	Denmark	1		
1959	Monaco	France	2		
1959	Monaco	Great Britain	2		
1959	Monaco	Italy	1		
1959	Monaco	Netherlands	1		
1959	Monaco	Switzerland	1		
1959	Netherlands	Belgium	1		
1959	Netherlands	Denmark	1		
1959	Netherlands	Great Britain	5		
1959	Netherlands	Sweden	3		
1959	Sweden	Austria	2		
1959	Sweden	Denmark	4		
1959	Sweden	Italy	1		
1959	Sweden	Switzerland	3		
1959	Switzerland	Austria	1		
1959	Switzerland	Denmark	1		
1959	Switzerland	France	1		
1959	Switzerland	Germany	1		
1959	Switzerland	Great Britain	3		
1959	Switzerland	Italy	3		
1960	Austria	Belgium	1		
1960	Austria	France	1		
1960	Austria	Germany	2		
1960	Austria	Great Britain	3		
1960	Austria	Norway	1		
1960	Austria	Switzerland	2		
1960	Belgium	Austria	1		
1960	Belgium	France	3		
1960	Belgium	Germany	2		
